_id,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population
604,47546,1326,34771,13394,7233,20107
605,47550,33,1030,394,205,521
606,47551,22,875,328,185,867
607,47552,10,241,95,47,270
608,47553,411,7755,3139,1451,8116
609,47557,36,1411,547,266,1480
610,47558,126,1867,757,374,3899
611,47561,150,1816,752,313,1546
612,47562,129,3666,1405,720,4365
613,47564,51,1564,606,320,1188
614,47567,131,6833,2632,1276,5908
615,47568,45,826,340,141,787
616,47574,Suppressed,286,102,59,213
617,47575,50,1410,543,297,920
618,47576,15,496,194,98,309
619,47577,35,1571,593,303,1181
620,47578,18,870,332,182,687
621,47579,136,4324,1640,871,2423
622,47580,7,382,148,83,406
623,47581,172,3648,1454,690,3497
624,47584,Suppressed,144,56,27,129
625,47585,14,463,181,87,742
626,47586,455,17914,6562,3737,10231
627,47588,18,879,326,176,595
628,47590,14,766,301,142,413
629,47591,891,33665,12907,6291,23863
630,47596,Suppressed,Suppressed,Suppressed,Suppressed,71
631,47597,27,1046,406,186,835
632,47598,107,3272,1265,619,2754
633,47601,298,20403,7691,3948,13197
634,47610,140,7647,2896,1476,5128
635,47611,43,1575,588,309,1399
636,47612,18,1154,434,225,657
637,47613,79,3862,1482,754,3057
638,47615,59,1866,712,381,1738
639,47616,6,457,169,94,261
640,47619,39,2345,875,486,1625
641,47620,222,19218,7109,3840,12530
642,47630,761,71186,26068,14811,33965
643,47631,21,3166,1134,654,2113
644,47633,42,3609,1331,712,2241
645,47634,80,2816,1068,581,2183
646,47635,198,7010,2572,1496,5200
647,47637,35,1820,692,350,1259
648,47638,69,5260,1987,1043,3211
649,47639,86,7307,2762,1444,3900
650,47640,27,1047,395,204,1034
651,47648,146,6222,2365,1200,3953
652,47649,38,1611,606,314,1434
653,47654,Suppressed,Suppressed,Suppressed,Suppressed,92
654,47660,102,5733,2143,1139,4599
655,47665,109,4257,1650,787,3538
656,47666,59,1772,680,337,1669
657,47670,456,15612,5977,2864,11309
658,47683,Suppressed,18,6,6,235
659,47708,46,1132,428,212,445
660,47710,473,25379,9572,4770,17834
661,47711,976,48584,18200,9687,30334
662,47712,472,35751,13329,7136,25489
663,47713,304,13010,5005,2358,9478
664,47714,658,45184,17103,8595,32245
665,47715,636,49169,18018,10060,24589
666,47720,321,28320,10366,5813,16734
667,47725,443,35524,13162,7300,16260
668,47802,1243,45953,17426,8973,32617
669,47803,838,34132,12546,7144,19839
670,47804,360,12816,4917,2395,10825
671,47805,475,17860,6848,3512,11873
672,47807,482,11283,4562,1817,11322
673,47809,Suppressed,406,167,37,2516
674,47832,39,968,371,198,985
675,47833,69,1166,465,229,761
676,47834,833,22018,8720,4089,18009
677,47836,Suppressed,Suppressed,Suppressed,Suppressed,0
678,47837,42,1168,459,214,984
679,47838,104,5150,2076,883,3659
680,47840,54,1645,648,309,1711
681,47841,145,2353,932,490,2127
682,47842,473,12811,4928,2512,9058
683,47846,16,711,272,143,532
684,47847,50,1067,413,213,1138
685,47848,75,2097,819,393,1580
686,47849,23,542,213,101,479
687,47850,84,3001,1147,596,2082
688,47853,9,307,116,63,115
689,47854,35,942,374,181,586
690,47855,24,637,248,117,484
691,47857,11,578,215,112,408
692,47858,15,623,238,114,699
693,47859,31,750,302,134,890
694,47860,12,233,93,46,402
695,47861,31,605,234,124,563
696,47862,73,1499,593,285,1302
697,47863,8,229,86,49,294
698,47865,Suppressed,Suppressed,Suppressed,Suppressed,55
699,47866,12,596,222,125,587
700,47868,137,2585,1042,483,2968
701,47869,5,151,60,27,124
702,47871,13,251,100,52,293
703,47872,329,9657,3756,1873,8221
704,47874,114,3693,1437,725,3104
705,47876,8,778,232,179,348
706,47879,121,3325,1318,591,3369
707,47880,Suppressed,Suppressed,Suppressed,Suppressed,78
708,47881,17,367,151,63,321
709,47882,466,11090,4339,2122,7367
710,47884,Suppressed,329,123,55,185
711,47885,327,11228,4304,2207,8501
712,47901,143,5691,2113,1116,3467
713,47904,431,21034,8025,3842,16284
714,47905,1102,66660,24699,13484,38998
715,47906,1804,134634,48903,27394,74443
716,47907,Suppressed,Suppressed,Suppressed,Suppressed,0
717,47909,1145,62548,23725,12166,39476
718,47916,Suppressed,Suppressed,Suppressed,Suppressed,38
719,47917,37,452,178,96,445
720,47918,255,7114,2771,1382,5383
721,47920,77,4298,1600,907,2123
722,47921,90,1354,563,244,1010
723,47922,56,1680,654,316,1423
724,47923,125,5235,1989,1036,3040
725,47924,Suppressed,183,69,33,162
726,47925,9,306,114,69,123
727,47926,24,1075,410,202,1440
728,47928,51,1552,623,275,1894
729,47929,32,956,362,206,594
730,47930,28,1394,532,267,1211
731,47932,145,5333,2058,965,5027
732,47933,897,35450,13619,6738,25996
733,47940,44,1601,619,314,1617
734,47941,27,1826,683,360,1335
735,47942,20,758,283,156,678
736,47943,66,1075,448,180,999
737,47944,111,4735,1818,958,3192
738,47946,52,2159,820,422,2072
739,47948,36,1311,512,236,1408
740,47949,42,1259,490,238,1120
741,47950,30,810,317,158,846
742,47951,37,2437,901,489,2043
743,47952,65,2262,885,404,2794
744,47954,56,2286,911,409,2249
745,47955,29,1265,492,243,934
746,47957,35,1639,627,320,1716
747,47958,8,135,57,24,137
748,47959,71,2898,1135,497,2781
749,47960,504,20630,7795,4100,13897
750,47963,45,2226,839,456,1971
751,47964,6,102,38,22,106
752,47965,13,600,237,104,588
753,47966,17,456,178,84,343
754,47967,24,846,330,156,617
